startTime,endTime,latency
1708422965947,1708422965961,14
1708422965961,1708422965974,13
1708422965974,1708422965989,15
1708422965989,1708422966000,11
1708422966000,1708422966014,14
1708422966014,1708422966029,15
1708422966029,1708422966043,14
1708422966043,1708422966057,14
1708422966057,1708422966072,15
1708422966072,1708422966086,14
1708422966086,1708422966100,14
1708422966100,1708422966114,14
1708422966114,1708422966128,14
1708422966128,1708422966142,14
1708422966142,1708422966157,15
1708422966157,1708422966171,14
1708422966171,1708422966185,14
1708422966185,1708422966198,13
1708422966198,1708422966214,16
1708422966214,1708422966227,13
1708422966227,1708422966239,12
1708422966239,1708422966253,14
1708422966253,1708422966267,14
1708422966267,1708422966282,15
1708422966282,1708422966296,14
1708422966296,1708422966311,15
1708422966311,1708422966324,13
1708422966324,1708422966336,12
1708422966336,1708422966351,15
1708422966351,1708422966365,14
1708422966365,1708422966379,14
1708422966379,1708422966391,12
1708422966391,1708422966405,14
1708422966405,1708422966419,14
1708422966419,1708422966433,14
1708422966433,1708422966447,14
1708422966447,1708422966461,14
1708422966461,1708422966475,14
1708422966475,1708422966488,13
1708422966488,1708422966501,13
1708422966501,1708422966516,15
1708422966516,1708422966530,14
1708422966530,1708422966545,15
1708422966545,1708422966558,13
1708422966558,1708422966572,14
1708422966572,1708422966587,15
1708422966587,1708422966601,14
1708422966601,1708422966615,14
1708422966615,1708422966627,12
1708422966627,1708422966641,14
1708422966641,1708422966655,14
1708422966655,1708422966668,13
1708422966668,1708422966683,15
1708422966683,1708422966698,15
1708422966698,1708422966711,13
1708422966711,1708422966726,15
1708422966726,1708422966741,15
1708422966741,1708422966754,13
1708422966754,1708422966769,15
1708422966769,1708422966785,16
1708422966785,1708422966799,14
1708422966799,1708422966812,13
1708422966812,1708422966824,12
1708422966824,1708422966839,15
1708422966839,1708422966854,15
1708422966854,1708422966868,14
1708422966868,1708422966879,11
1708422966879,1708422966891,12
1708422966891,1708422966905,14
1708422966905,1708422966919,14
1708422966919,1708422966934,15
1708422966934,1708422966949,15
1708422966949,1708422966964,15
1708422966964,1708422966975,11
1708422966975,1708422966989,14
1708422966989,1708422967003,14
1708422967003,1708422967015,12
1708422967015,1708422967029,14
1708422967029,1708422967044,15
1708422967044,1708422967058,14
1708422967058,1708422967072,14
1708422967072,1708422967086,14
1708422967086,1708422967101,15
1708422967101,1708422967116,15
1708422967116,1708422967130,14
1708422967130,1708422967143,13
1708422967143,1708422967158,15
1708422967158,1708422967172,14
1708422967172,1708422967186,14
1708422967186,1708422967201,15
1708422967201,1708422967215,14
1708422967215,1708422967229,14
1708422967229,1708422967242,13
1708422967242,1708422967255,13
1708422967255,1708422967269,14
1708422967269,1708422967283,14
1708422967283,1708422967298,15
1708422967298,1708422967312,14
1708422967312,1708422967327,15
1708422967327,1708422967340,13
1708422967340,1708422967354,14
1708422967354,1708422967367,13
1708422967367,1708422967383,16
1708422967383,1708422967397,14
1708422967397,1708422967411,14
1708422967411,1708422967425,14
1708422967425,1708422967440,15
1708422967440,1708422967453,13
1708422967453,1708422967468,15
1708422967468,1708422967482,14
1708422967482,1708422967497,15
1708422967497,1708422967511,14
1708422967511,1708422967526,15
1708422967526,1708422967540,14
1708422967540,1708422967554,14
1708422967554,1708422967569,15
1708422967569,1708422967581,12
1708422967581,1708422967595,14
1708422967595,1708422967610,15
1708422967610,1708422967624,14
1708422967624,1708422967638,14
1708422967638,1708422967653,15
1708422967653,1708422967666,13
1708422967666,1708422967680,14
1708422967680,1708422967693,13
1708422967693,1708422967707,14
1708422967707,1708422967723,16
1708422967723,1708422967737,14
1708422967737,1708422967751,14
1708422967751,1708422967766,15
1708422967766,1708422967780,14
1708422967780,1708422967793,13
1708422967793,1708422967806,13
1708422967806,1708422967821,15
1708422967821,1708422967836,15
1708422967836,1708422967850,14
1708422967850,1708422967865,15
1708422967865,1708422967880,15
1708422967880,1708422967895,15
1708422967895,1708422967909,14
1708422967909,1708422967921,12
1708422967921,1708422967936,15
1708422967936,1708422967950,14
1708422967951,1708422967964,13
1708422967964,1708422967978,14
1708422967978,1708422967989,11
1708422967989,1708422968004,15
1708422968004,1708422968018,14
1708422968018,1708422968032,14
1708422968032,1708422968047,15
1708422968047,1708422968062,15
1708422968062,1708422968077,15
1708422968077,1708422968091,14
1708422968091,1708422968106,15
1708422968106,1708422968120,14
1708422968120,1708422968134,14
1708422968134,1708422968149,15
1708422968149,1708422968162,13
1708422968162,1708422968176,14
1708422968176,1708422968191,15
1708422968191,1708422968205,14
1708422968205,1708422968219,14
1708422968219,1708422968234,15
1708422968234,1708422968248,14
1708422968248,1708422968261,13
1708422968261,1708422968275,14
1708422968275,1708422968290,15
1708422968290,1708422968304,14
1708422968304,1708422968317,13
1708422968317,1708422968331,14
1708422968331,1708422968345,14
1708422968345,1708422968360,15
1708422968360,1708422968375,15
1708422968375,1708422968390,15
1708422968390,1708422968405,15
1708422968405,1708422968423,18
1708422968423,1708422968438,15
1708422968438,1708422968453,15
1708422968453,1708422968467,14
1708422968467,1708422968481,14
1708422968481,1708422968495,14
1708422968495,1708422968510,15
1708422968510,1708422968522,12
1708422968522,1708422968537,15
1708422968537,1708422968551,14
1708422968551,1708422968566,15
1708422968566,1708422968579,13
1708422968579,1708422968593,14
1708422968593,1708422968607,14
1708422968607,1708422968621,14
1708422968621,1708422968633,12
1708422968633,1708422968646,13
1708422968646,1708422968661,15
1708422968661,1708422968675,14
1708422968675,1708422968689,14
1708422968689,1708422968702,13
1708422968702,1708422968716,14
1708422968716,1708422968730,14
1708422968730,1708422968745,15
1708422968745,1708422968759,14
1708422968759,1708422968770,11
1708422968770,1708422968784,14
1708422968785,1708422968799,14
1708422968799,1708422968811,12
1708422968811,1708422968826,15
1708422968826,1708422968840,14
1708422968840,1708422968854,14
1708422968854,1708422968868,14
1708422968868,1708422968882,14
1708422968882,1708422968896,14
1708422968896,1708422968911,15
1708422968911,1708422968925,14
1708422968925,1708422968936,11
1708422968936,1708422968951,15
1708422968951,1708422968966,15
1708422968966,1708422968978,12
1708422968978,1708422968993,15
1708422968993,1708422969007,14
1708422969007,1708422969022,15
1708422969022,1708422969035,13
1708422969035,1708422969049,14
1708422969049,1708422969064,15
1708422969064,1708422969078,14
1708422969078,1708422969091,13
1708422969091,1708422969103,12
1708422969103,1708422969117,14
1708422969117,1708422969132,15
1708422969132,1708422969146,14
1708422969146,1708422969159,13
1708422969159,1708422969174,15
1708422969174,1708422969189,15
1708422969189,1708422969200,11
1708422969200,1708422969215,15
1708422969215,1708422969228,13
1708422969228,1708422969241,13
1708422969241,1708422969253,12
1708422969253,1708422969266,13
